Old_Block_Name,Old_Block_Scale,New_Block_Name,New_Block_Scale
HDV1_1-,2,HDV1_1_CMPOILS,1
VC01WR_1-,2,VPW1_GPO2_SLD_CMPOILS,1
VCB11_02_AE_1-,2,VCB11_RCBO_SLD_CMPOILS,1
VCB11_1-,2,VCB1_MCCB_SLD_CMPOILS,1
VCB11TH_1-,2,VCB11_MPCB_SLD_CMPOILS,1
VDS11_1-,2,VDS11_ISO_SLD_CMPOILS,1
VDV1_1-,2,VDV1_DEVICE_SLD_CMPOILS,1
VMO13_1-,2,VMO1_MO1_SLD_CMPOILS,1
VMO13_AE_1-,2,VMO1_MO1_SLD_CMPOILS,1
VMS11M_AE_1-,2,VMS1_ISOCONT_SLD_CMPOILS,1
VMS1M_SD_AE_1-,2,VMS1M_SD_SLD_CMPOILS,1
VMS1M_VSD_AE_1-,2,VDR1_VSD_SLD_CMPOILS,1
VT0002_1-,2,VT0001_T1_SLD_CMPOILS,1
FAN01_EOR,2,HMO1_FAN1_CMPOILS,1
HCB_01_AE,2,HCB1_CMPOILS,1
HCB1,2,HCB1_MCCB_CMPOILS,1
HCB11TH,2,HCB11_MPCB_CMPOILS,1
HCB2,2,HCB2_MCCB_CMPOILS,1
HCB21TH,2,HCB21_MPCB_CMPOILS,1
HCR1_003_AE,2,HCR1_05_CMPOILS,1
HCR1_004_AE,2,HCR1_09_CMPOILS,1
HCR1_003D_AE,2,HCR1_07_CMPOILS,1
HCR1_004D_AE,2,HCR1_04_CMPOILS,1
HCR1_005D_AE,2,HCR1_03_CMPOILS,1
HCR1F35_01_AE,2,HCR1_PFR_CMPOILS,1
HCR21_01_AE,2,HCR21_RC_CMPOILS,1
HCR21_AE,2,HCR21_RC_CMPOILS,1
HCR22_AE,2,HCR22_RC_CMPOILS,1
HDS11,2,HDS11_ISOL_CMPOILS,1
HDS11_AE,2,HDS11_ISOL_CMPOILS,1
HDS11F_AE,2,HDS11FTELV_CMPOILS,1
HDS21,2,HDS21_ISOL_CMPOILS,1
HDV1T6_01_AE,2,HDV1T8_CMPOILS,1
HDV1T6_04B1_AE,2,HDV1T6_04B1_CMPOILS,1
HDV1T6_06A1_AE,2,HFA1_CV_CMPOILS,1
HDV1T6_AE,2,HDV1T7_CMPOILS,1
HLS113R_01_AE,2,HLS11_ROT1_CMPOILS,1
HLS12_AE,2,HLS1_LS1_CMPOILS,1
HLT1_002_01_AE,2,HLT1_LIGHT1_CMPOILS,1
HLT1G_AE,2,HLT1G_CMPOILS,1
HLT1R_AE,2,HLT1R_CMPOILS,1
HMO13_AE,2,HMO1_3PM_CMPOILS,1
HMO1M11_AE,2,HMO1M11_CMPOILS,1
HMS1_002_PF525,2,HDR1_002_PF525_CMPOILS,1
HMS1_003_PF753,1,HDR1_003_PF753_CMPOILS,1
HMS1_PF750_EXP_20-750-ENETR,2,HDR2_ETH_PF750_CMPOILS,1
HMS21P,2,HMS21_MSC_CMPOILS,1
HOL1,2,HOL1_CMPOILS,1
HOL2,2,HOL2_CMPOILS,1
HOL22_AE,2,HCB22_OL_CMPOILS,1
HPB11_01_AE,2,HPB11_CMPOILS,1
HPB11LS,2,HPB11LS_CMPOILS,1
HPB12_01_AE,2,HPB12_CMPOILS,1
HPB12L_01_AE,2,HPB11L_CMPOILS,1
HPW1_003C_AE,2,HPW1_GPO1_CMPOILS,1
HPW1_102C_AE,2,HPW1_IPO1_CMPOILS,1
HPW1_1PH_AE,2,HPW1_DCPS_CMPOILS,1
HPW1_UPS_01_AE,2,HPW1_UPS1_CMPOILS,1
HPX11IN3RC_01_AE,2,HSN1_FE3R_CMPOILS,1
HPX11IN3RC_02_AE,2,HSN1_P3R_CMPOILS,1
HPX11IN3RC_02X1_AE,2,HSN1_SW3R_CMPOILS,1
HPX11IN3RC_AE,2,HSN1_P3R_CMPOILS,1
HRE1HT_01_AE,2,HRE1_HT1_CMPOILS,1
HSS1_KN2PL_AE,2,HSS11_KN2PL_CMPOILS,1
HSS2_KN2PR_AE,2,HSS21_KN2PR_CMPOILS,1
HSV1_2_AE,2,HSV1_CMPOILS,1
HT0002_02A_AE,2,HT0001_240V1_CMPOILS,1
HT0002_02C_AE,2,HT0001_ELV1_CMPOILS,1
HT0002_02E_AE,2,HT0001_EARTHT1_CMPOILS,1
HT0002_03A_AE,2,HT0001_240V2_CMPOILS,1
HT0002_03C_AE,2,HT0001_ELV2_CMPOILS,1
HT1002_02C_AE,2,HT1001_ELV1_CMPOILS,1
HT1002_02A_AE,2,HT1001_240V1_CMPOILS,1
HT1002_03A_AE,2,HT1001_240V2_CMPOILS,1
HT1002_03C_AE,2,HT1001_ELV2_CMPOILS,1
HTD1N_AE,2,HTD1N_CMPOILS,1
HTD21N_AE,2,HTD21N_CMPOILS,1
HTS11S18_01_AE,2,HTS11_TSP1_CMPOILS,1
HTS11S18_AE,2,HTS11_TSP1_CMPOILS,1
VC01_P,2,VC01_P_CMPOILS,1
VC01J_,2,VC01J_CMPOILS,1
VDI1R,2,VDI1_DIODE_CMPOILS,1
VDV1T6_2A_AE,2,VXF1_ZCT1_CMPOILS,1
VGND2,2,VGND2_CMPOILS,1
VT0002_02E_AE,2,VT0001_EARTHT2_CMPOILS,1
VT0002_03A_AE,2,VT0001_240V1_CMPOILS,1
VT0002_03E_AE,2,VT0001_EARTHT2_CMPOILS,1
VW01_001_AE,2,VW01_1P_SLD_CMPOILS,1
VW01_002_AE,2,VDV1_2P_SLD_CMPOILS,1
VW01_003_AE,2,VDV1_3P_SLD_CMPOILS,1
