Old_Block_Name,Old_Block_Scale,New_Block_Name,New_Block_Scale
440RD22S2,1,VCR1_AB-440RD22S2_DI,1
1783-US5T STRATIX 2000 010718,1,VDN11_ETHSW-05P_DI,1
CMPOILS_002-AB-P753-VSDV2-ENET,1,HDR2_AB-P753ENTV2_DI,1
CMPOILS_002-AB-P753-VSDV3,1,HDR1_AB-P753V3_DI,1
CP A BATTERY 24V DC3.4AH 010718,1,VPW1_CPABATT-24VDC3_DI,1
CP DC UPS 24V 20A10A_010718,1,VPW1_CPDC-UPS24V_DI,1
EP240-3-ST (1),1,VPW1_EP240-3-ST_DI,1
FLEXY201N 010718,1,VDN11_FLEXY201N_DI,1
PLCIO-1734-AENT,1,PLCIO_AB-1734AENTV2_DI,1
HDN1_004,1,HDN1_STRATIX5700_DI,1
HDV_EVAPORATOR,1,HEC1_EVAPORATOR_DI,1
LIQUILINE CM448 230718,1,VEC11_LIQUILINE_CM448_DI,1
MFM001,1,VPM1_MFM01_DI,1
OL_DB001,1,1-/VDV1_DB01_DI,1
OL_MSSD001,1,1-/VMS1_SDS01_DI,1
OL_PFR001,1,1-/VCR1_PFR01_DI,1
OL_PS001,1,1-/VPW1_PS01_DI,1
OL_VF001,1,1-/VDR1_VSD01_DI,1
PDNI_1734-AENT,1,PLCIO_AB-1734AENTV3_DI,1
PFR001,1,VCR1_PFR001_DI,1
VCN3RSGL,1,VCN1_3RSGL_DI,1
VDB1308-DI-005 - 5way_TBlk,1,VDB1_5WAY01_DI,1
VDV1_002,1,VSN1_OXYGEN01_DI,1
VLT1_002_KLAX_KL2496R,1,VAN1_KL2496_DI,1
VPW1_002 - DCDCCONV1,1,VPW1_DCDCCONV1_DI,1
VSLC_1-,1,VMS1_MS01_DI,1
VT0001_002,1,VT00_FT01_DI,1
VCB1Q148,1,VCB1Q148_DI,1
VCB1Q147,1,VCB1Q147_DI,1
VMO1_002 - FAN MOTOR,1,VMO1_FAN_MOTOR_DI,1
HCB1EPM001,1,HEC1_EPM001_DI,1
CP DC UPS 24V 20A10A_010718,1,VPW1_CPDC-UPS24V_DI,1
HDV11734EP24DC_007,1,PLCIO_1734EP24DC_DI,1
VDV1_002HACH LDO MOD2,1,VSN1_HACH_LDO_DI,1
HDV1_003,1,VCN1RSGL2X_DI,1
VLS11_001,1,VLS11_LS01_DI,1
