Old_Block_Name,Old_Block_Scale,New_Block_Name,New_Block_Scale
HA1D1_SIG1_CMPOILS,1,HA1D1,1
HA1D2_SIG1_CMPOILS,1,HA1D2,1
HA1D3_SIG1_CMPOILS,1,HA1D3,1
HA1D4_SIG1_CMPOILS,1,HA1D4,1
HA1D1_CMPOILS,1,HA1D1,1
HA1D2_CMPOILS,1,HA1D2,1
HA1D3_CMPOILS,1,HA1D3,1
HA1D4_CMPOILS,1,HA1D4,1
HA1S1_SIG1_CMPOILS,1,HA1S1,1
HA1S2_SIG1_CMPOILS,1,HA1S2,1
HA1S3_SIG1_CMPOILS,1,HA1S3,1
HA1S4_SIG1_CMPOILS,1,HA1S4,1
HA1S1_CMPOILS,1,HA1S1,1
HA1S2_CMPOILS,1,HA1S2,1
HA1S3_CMPOILS,1,HA1S3,1
HA1S4_CMPOILS,1,HA1S4,1
